OBJECTID,Inventory__,y,y_1,x,x_1,x_2,F__of_Culverts,Bankfull,Blownout_DS_,County,Culvert_Height,Culvert_Length,Culvert_Material,Culvert_Roadway_Name,Headloss,Headwater_elevation,Invert_DS__RL_,Invert_DS__RR_,Invert_US__RL_,Invert_US__RR_,Lateral_Scour_DS,Constriction_Ratio,RL_Culvert_Slope,RR_Culvert_Slope,Scour_Pool_DS_,Tailwater_elevation,Culvert_Width,Total_Culvert_width,Vertical_Scour__M1_,Vertical_Scour__M2_,Vertical_Scour__RL_,Vertical_Scour__RR_
160,50-0008,N 43°48.283',43.80471667,W 091°36.366',91.6061,-91.6061,2,4.833333333,NO,Mo-er,7.2,80,CONCRETE,310th St/15,0.02,12.14,14.04,13.39,13.78,13.37,NA,4.75862069,0.325,0.025,Yes,12.16,11.5,23,NA,NA,NA,NA
153,50-0035,N 43°45.673',43.76121667,W 091°29.986',91.49976667,-91.49976667,2,1.7,YES,Mo-er,5,55.2,CONCRETE,280th St,0.04,10.91,11.71,11.71,11.6,11.72,NA,11.76470588,0.199275362,-0.018115942,Yes,10.95,10,20,NA,NA,NA,NA
158,50-0003,N 43°47.864',43.79773333,W 091°33.325',91.55541667,-91.55541667,2,3.066666667,YES,Mo-er,7.8,66,CONCRETE,305th St,-0.08,14.1,16.21,16.21,16.08,15.98,NA,6.52173913,0.196969697,0.348484848,Yes,14.02,10,20,NA,NA,NA,NA
138,50-0024,N 43°38.049',43.63415,W 091°31.761',91.52935,-91.52935,2,,NO,Mo-er,7.2,61,CONCRETE,760th Ave,0.07,13.13,14.77,14.8,14.66,14.63,NA,NA,0.180327869,0.278688525,Yes,13.2,11,22,NA,NA,NA,NA
151,50-0038,N 43°44.942',43.74903333,W 091°33.256',91.55426667,-91.55426667,3,6.1,YES,Mo-er,8.8,84,CONCRETE,NA,0.01,13.32,15.79,15.82,15.67,15.56,NA,5.901639344,0.142857143,0.30952381,Yes,13.33,12,36,NA,NA,NA,NA
69,23-0237,N 43°41.093',43.68488333,W 091°23.584',91.39306667,-91.39306667,3,7.5,YES,Fillmore,,102.3,CONCRETE,S. Hudson St.,0.04,12.59,13.84,13.95,13.77,13.93,NA,4.133333333,0.0684,0.019550342,Yes,12.63,10.33333333,31,NA,NA,NA,NA
157,50-0010,N 43°47.665',43.79441667,W 091°47.777',91.79628333,-91.79628333,2,2.666666667,NO,Mo-er,7.7,64,CONCRETE,710th Ave,-0.1,13.3,15.78,15.49,15.74,15.37,NA,6,0.0625,0.1875,Yes,13.2,8,16,NA,NA,NA,NA
150,50-0047,N 43°43.395',43.72325,W 091°35.391',91.58985,-91.58985,4,6.3,YES,Mo-er,9,75,CONCRETE,730th Ave,-0.05,13.62,15.81,15.88,15.8,15.51,NA,7.619047619,0.0133,0.493333333,Yes,13.57,12,48,NA,NA,NA,NA
144,50-0060,N 43°40.091',43.66818333,W 091°36.566',91.60943333,-91.60943333,3,5.133333333,YES,Mo-er,8,62,CONCRETE,720th Ave,0.17,12.98,15.11,15.05,15.12,14.97,NA,7.012987013,-0.0161,0.129032258,Yes,13.15,12,36,NA,NA,NA,NA
166,50-0012,N 43°50.928',43.8488,W 091°44.540',91.74233333,-91.74233333,3,5.766666667,YES,Mo-er,7.2,82,CONCRETE,20,-0.02,11.66,13.32,13.02,13.34,13.3,NA,6.069364162,-0.0244,-0.341463415,Yes,11.64,11.66666667,35,NA,NA,NA,NA
190,55-0046,N 43°52.388',43.87313333,W 091°34.705',91.57841667,-91.57841667,2,1.8,NO,Olmsted,5.2,55,CONCRETE,CR115,-0.02,10.42,11.04,11.3,11.07,11,NA,13.33333333,-0.0545,0.545454545,Yes,10.4,12,24,NA,NA,NA,NA
147,50-0057,N 43°41.351',43.68918333,W 091°34.129',91.56881667,-91.56881667,4,12.26666667,YES,Mo-er,9,106,CONCRETE,NA,0.83,12,14.77,15,14.89,14.84,NA,3.913043478,-0.113207547,0.150943396,Yes,12.83,12,48,NA,NA,NA,NA
